instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_cluster
16,2011-01-01,Spring,2011,January,15,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.04,21.97,77.0,19.999499999999998,40,70,110,Afternoon
17,2011-01-01,Spring,2011,January,16,No,Saturday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,82.0,19.999499999999998,41,52,93,Afternoon
18,2011-01-01,Spring,2011,January,17,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.04,21.97,82.0,19.0012,15,52,67,Afternoon
19,2011-01-01,Spring,2011,January,18,No,Saturday,Weekend/Holiday,Light Snow/Rain,17.22,21.21,88.0,16.997899999999998,9,26,35,Evening
20,2011-01-01,Spring,2011,January,19,No,Saturday,Weekend/Holiday,Light Snow/Rain,17.22,21.21,88.0,16.997899999999998,6,31,37,Evening
21,2011-01-01,Spring,2011,January,20,No,Saturday,Weekend/Holiday,Mist/Cloudy,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,Evening
22,2011-01-01,Spring,2011,January,21,No,Saturday,Weekend/Holiday,Mist/Cloudy,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,Evening
23,2011-01-01,Spring,2011,January,22,No,Saturday,Weekend/Holiday,Mist/Cloudy,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Evening
24,2011-01-01,Spring,2011,January,23,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,88.0,19.999499999999998,15,24,39,Evening
25,2011-01-02,Spring,2011,January,0,No,Sunday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,88.0,19.999499999999998,4,13,17,Night
26,2011-01-02,Spring,2011,January,1,No,Sunday,Weekend/Holiday,Mist/Cloudy,18.04,21.97,94.0,16.997899999999998,1,16,17,Night
27,2011-01-02,Spring,2011,January,2,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,100.0,19.0012,1,8,9,Night
28,2011-01-02,Spring,2011,January,3,No,Sunday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,94.0,12.998000000000001,2,4,6,Night
29,2011-01-02,Spring,2011,January,4,No,Sunday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,94.0,12.998000000000001,2,1,3,Night
30,2011-01-02,Spring,2011,January,6,No,Sunday,Weekend/Holiday,Light Snow/Rain,17.22,21.21,77.0,19.999499999999998,0,2,2,Morning
31,2011-01-02,Spring,2011,January,7,No,Sunday,Weekend/Holiday,Mist/Cloudy,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Morning
32,2011-01-02,Spring,2011,January,8,No,Sunday,Weekend/Holiday,Light Snow/Rain,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Morning
33,2011-01-02,Spring,2011,January,9,No,Sunday,Weekend/Holiday,Mist/Cloudy,15.58,19.695,76.0,15.001299999999999,1,19,20,Morning
34,2011-01-02,Spring,2011,January,10,No,Sunday,Weekend/Holiday,Mist/Cloudy,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Morning
35,2011-01-02,Spring,2011,January,11,No,Sunday,Weekend/Holiday,Mist/Cloudy,14.76,16.665,71.0,16.997899999999998,16,54,70,Morning
36,2011-01-02,Spring,2011,January,12,No,Sunday,Weekend/Holiday,Mist/Cloudy,14.76,16.665,66.0,19.999499999999998,20,73,93,Afternoon
37,2011-01-02,Spring,2011,January,13,No,Sunday,Weekend/Holiday,Mist/Cloudy,14.76,17.424999999999997,66.0,8.9981,11,64,75,Afternoon
38,2011-01-02,Spring,2011,January,14,No,Sunday,Weekend/Holiday,Light Snow/Rain,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Afternoon
39,2011-01-02,Spring,2011,January,15,No,Sunday,Weekend/Holiday,Light Snow/Rain,13.940000000000001,16.665,81.0,11.0014,19,55,74,Afternoon
40,2011-01-02,Spring,2011,January,16,No,Sunday,Weekend/Holiday,Light Snow/Rain,13.940000000000001,16.665,71.0,11.0014,9,67,76,Afternoon
41,2011-01-02,Spring,2011,January,17,No,Sunday,Weekend/Holiday,Clear/Cloudy,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Afternoon
42,2011-01-02,Spring,2011,January,18,No,Sunday,Weekend/Holiday,Mist/Cloudy,14.76,16.665,46.0,22.0028,10,43,53,Evening
43,2011-01-02,Spring,2011,January,19,No,Sunday,Weekend/Holiday,Clear/Cloudy,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Evening
44,2011-01-02,Spring,2011,January,20,No,Sunday,Weekend/Holiday,Clear/Cloudy,12.299999999999999,13.635,39.0,23.9994,5,17,22,Evening
45,2011-01-02,Spring,2011,January,21,No,Sunday,Weekend/Holiday,Clear/Cloudy,10.66,11.365,44.0,22.0028,11,20,31,Evening
46,2011-01-02,Spring,2011,January,22,No,Sunday,Weekend/Holiday,Clear/Cloudy,9.84,10.605,44.0,19.999499999999998,0,9,9,Evening
47,2011-01-02,Spring,2011,January,23,No,Sunday,Weekend/Holiday,Clear/Cloudy,9.02,11.365,47.0,11.0014,0,8,8,Evening
48,2011-01-03,Spring,2011,January,0,No,Monday,Working Day,Clear/Cloudy,9.02,9.85,44.0,23.9994,0,5,5,Night
49,2011-01-03,Spring,2011,January,1,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Night
50,2011-01-03,Spring,2011,January,4,No,Monday,Working Day,Clear/Cloudy,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Night
51,2011-01-03,Spring,2011,January,5,No,Monday,Working Day,Clear/Cloudy,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Night
52,2011-01-03,Spring,2011,January,6,No,Monday,Working Day,Clear/Cloudy,5.74,5.305,50.0,26.0027,0,30,30,Morning
53,2011-01-03,Spring,2011,January,7,No,Monday,Working Day,Clear/Cloudy,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Morning
54,2011-01-03,Spring,2011,January,8,No,Monday,Working Day,Clear/Cloudy,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Morning
55,2011-01-03,Spring,2011,January,9,No,Monday,Working Day,Clear/Cloudy,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Morning
56,2011-01-03,Spring,2011,January,10,No,Monday,Working Day,Clear/Cloudy,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Morning
57,2011-01-03,Spring,2011,January,11,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,9.09,40.0,22.0028,10,41,51,Morning
58,2011-01-03,Spring,2011,January,12,No,Monday,Working Day,Clear/Cloudy,9.02,10.605,35.0,19.999499999999998,13,48,61,Afternoon
59,2011-01-03,Spring,2011,January,13,No,Monday,Working Day,Clear/Cloudy,9.84,10.605,35.0,19.0012,8,53,61,Afternoon
60,2011-01-03,Spring,2011,January,14,No,Monday,Working Day,Clear/Cloudy,10.66,12.120000000000001,30.0,19.0012,11,66,77,Afternoon
61,2011-01-03,Spring,2011,January,15,No,Monday,Working Day,Clear/Cloudy,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Afternoon
62,2011-01-03,Spring,2011,January,16,No,Monday,Working Day,Clear/Cloudy,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Afternoon
63,2011-01-03,Spring,2011,January,17,No,Monday,Working Day,Clear/Cloudy,9.84,11.365,30.0,15.001299999999999,11,146,157,Afternoon
64,2011-01-03,Spring,2011,January,18,No,Monday,Working Day,Clear/Cloudy,9.84,12.879999999999999,32.0,7.0015,9,148,157,Evening
65,2011-01-03,Spring,2011,January,19,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Evening
66,2011-01-03,Spring,2011,January,20,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,11.365,47.0,7.0015,3,49,52,Evening
67,2011-01-03,Spring,2011,January,21,No,Monday,Working Day,Clear/Cloudy,7.38,9.85,64.0,8.9981,3,49,52,Evening
68,2011-01-03,Spring,2011,January,22,No,Monday,Working Day,Clear/Cloudy,5.74,7.575,69.0,8.9981,0,20,20,Evening
69,2011-01-03,Spring,2011,January,23,No,Monday,Working Day,Clear/Cloudy,7.38,10.605,55.00000000000001,7.0015,1,11,12,Evening
70,2011-01-04,Spring,2011,January,0,No,Tuesday,Working Day,Clear/Cloudy,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Night
71,2011-01-04,Spring,2011,January,1,No,Tuesday,Working Day,Clear/Cloudy,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Night
72,2011-01-04,Spring,2011,January,2,No,Tuesday,Working Day,Clear/Cloudy,5.74,7.575,63.0,8.9981,0,1,1,Night
73,2011-01-04,Spring,2011,January,4,No,Tuesday,Working Day,Clear/Cloudy,5.74,9.09,63.0,6.0032,0,2,2,Night
74,2011-01-04,Spring,2011,January,5,No,Tuesday,Working Day,Clear/Cloudy,4.92,7.575,68.0,7.0015,0,4,4,Night
75,2011-01-04,Spring,2011,January,6,No,Tuesday,Working Day,Clear/Cloudy,4.92,7.575,74.0,7.0015,0,36,36,Morning
76,2011-01-04,Spring,2011,January,7,No,Tuesday,Working Day,Clear/Cloudy,4.92,7.575,74.0,8.9981,2,92,94,Morning
77,2011-01-04,Spring,2011,January,8,No,Tuesday,Working Day,Clear/Cloudy,5.74,7.575,69.0,11.0014,2,177,179,Morning
78,2011-01-04,Spring,2011,January,9,No,Tuesday,Working Day,Clear/Cloudy,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Morning
79,2011-01-04,Spring,2011,January,10,No,Tuesday,Working Day,Mist/Cloudy,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Morning
80,2011-01-04,Spring,2011,January,11,No,Tuesday,Working Day,Clear/Cloudy,9.02,10.605,51.0,19.999499999999998,7,50,57,Morning
81,2011-01-04,Spring,2011,January,12,No,Tuesday,Working Day,Clear/Cloudy,9.02,11.365,51.0,11.0014,12,66,78,Afternoon
82,2011-01-04,Spring,2011,January,13,No,Tuesday,Working Day,Clear/Cloudy,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Afternoon
83,2011-01-04,Spring,2011,January,14,No,Tuesday,Working Day,Clear/Cloudy,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Afternoon
84,2011-01-04,Spring,2011,January,15,No,Tuesday,Working Day,Clear/Cloudy,11.48,13.635,52.0,16.997899999999998,17,48,65,Afternoon
85,2011-01-04,Spring,2011,January,16,No,Tuesday,Working Day,Clear/Cloudy,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Afternoon
86,2011-01-04,Spring,2011,January,17,No,Tuesday,Working Day,Clear/Cloudy,11.48,13.635,48.0,15.001299999999999,10,202,212,Afternoon
87,2011-01-04,Spring,2011,January,18,No,Tuesday,Working Day,Clear/Cloudy,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Evening
88,2011-01-04,Spring,2011,January,19,No,Tuesday,Working Day,Clear/Cloudy,9.84,12.879999999999999,48.0,7.0015,2,110,112,Evening
89,2011-01-04,Spring,2011,January,20,No,Tuesday,Working Day,Clear/Cloudy,9.84,12.879999999999999,48.0,7.0015,1,53,54,Evening
90,2011-01-04,Spring,2011,January,21,No,Tuesday,Working Day,Clear/Cloudy,9.02,13.635,64.0,0.0,0,48,48,Evening
91,2011-01-04,Spring,2011,January,22,No,Tuesday,Working Day,Clear/Cloudy,9.02,12.879999999999999,64.0,6.0032,1,34,35,Evening
92,2011-01-04,Spring,2011,January,23,No,Tuesday,Working Day,Clear/Cloudy,8.200000000000001,11.365,69.0,6.0032,2,9,11,Evening
93,2011-01-05,Spring,2011,January,0,No,Wednesday,Working Day,Clear/Cloudy,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Night
94,2011-01-05,Spring,2011,January,1,No,Wednesday,Working Day,Clear/Cloudy,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Night
95,2011-01-05,Spring,2011,January,2,No,Wednesday,Working Day,Clear/Cloudy,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Night
96,2011-01-05,Spring,2011,January,4,No,Wednesday,Working Day,Clear/Cloudy,9.84,11.365,48.0,15.001299999999999,0,2,2,Night
97,2011-01-05,Spring,2011,January,5,No,Wednesday,Working Day,Clear/Cloudy,9.02,11.365,47.0,11.0014,0,3,3,Night
98,2011-01-05,Spring,2011,January,6,No,Wednesday,Working Day,Clear/Cloudy,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Morning
99,2011-01-05,Spring,2011,January,7,No,Wednesday,Working Day,Clear/Cloudy,7.38,9.09,43.0,12.998000000000001,1,87,88,Morning
100,2011-01-05,Spring,2011,January,8,No,Wednesday,Working Day,Clear/Cloudy,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Morning
101,2011-01-05,Spring,2011,January,9,No,Wednesday,Working Day,Clear/Cloudy,9.02,9.85,37.0,22.0028,6,109,115,Morning
102,2011-01-05,Spring,2011,January,10,No,Wednesday,Working Day,Clear/Cloudy,9.02,9.85,37.0,22.0028,4,53,57,Morning
103,2011-01-05,Spring,2011,January,11,No,Wednesday,Working Day,Clear/Cloudy,10.66,11.365,33.0,22.0028,12,34,46,Morning
104,2011-01-05,Spring,2011,January,12,No,Wednesday,Working Day,Clear/Cloudy,10.66,11.365,33.0,22.0028,5,74,79,Afternoon
105,2011-01-05,Spring,2011,January,13,No,Wednesday,Working Day,Clear/Cloudy,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Afternoon
106,2011-01-05,Spring,2011,January,14,No,Wednesday,Working Day,Clear/Cloudy,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Afternoon
107,2011-01-05,Spring,2011,January,15,No,Wednesday,Working Day,Clear/Cloudy,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Afternoon
108,2011-01-05,Spring,2011,January,16,No,Wednesday,Working Day,Clear/Cloudy,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Afternoon
109,2011-01-05,Spring,2011,January,17,No,Wednesday,Working Day,Clear/Cloudy,9.84,11.365,38.0,12.998000000000001,4,186,190,Afternoon
110,2011-01-05,Spring,2011,January,18,No,Wednesday,Working Day,Clear/Cloudy,9.84,12.120000000000001,38.0,8.9981,3,166,169,Evening
111,2011-01-05,Spring,2011,January,19,No,Wednesday,Working Day,Clear/Cloudy,9.84,12.879999999999999,38.0,7.0015,5,127,132,Evening
112,2011-01-05,Spring,2011,January,20,No,Wednesday,Working Day,Clear/Cloudy,9.02,11.365,47.0,11.0014,7,82,89,Evening
113,2011-01-05,Spring,2011,January,21,No,Wednesday,Working Day,Clear/Cloudy,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Evening
114,2011-01-05,Spring,2011,January,22,No,Wednesday,Working Day,Clear/Cloudy,7.38,9.85,55.00000000000001,8.9981,1,41,42,Evening
115,2011-01-05,Spring,2011,January,23,No,Wednesday,Working Day,Clear/Cloudy,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Evening
116,2011-01-06,Spring,2011,January,0,No,Thursday,Working Day,Clear/Cloudy,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Night
117,2011-01-06,Spring,2011,January,1,No,Thursday,Working Day,Clear/Cloudy,6.5600000000000005,11.365,64.0,0.0,0,4,4,Night
118,2011-01-06,Spring,2011,January,2,No,Thursday,Working Day,Clear/Cloudy,6.5600000000000005,11.365,64.0,0.0,0,2,2,Night
119,2011-01-06,Spring,2011,January,4,No,Thursday,Working Day,Mist/Cloudy,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Night
120,2011-01-06,Spring,2011,January,5,No,Thursday,Working Day,Mist/Cloudy,5.74,9.09,69.0,6.0032,0,4,4,Night
121,2011-01-06,Spring,2011,January,6,No,Thursday,Working Day,Mist/Cloudy,5.74,8.334999999999999,63.0,7.0015,0,36,36,Morning
122,2011-01-06,Spring,2011,January,7,No,Thursday,Working Day,Mist/Cloudy,6.5600000000000005,11.365,59.0,0.0,0,95,95,Morning
123,2011-01-06,Spring,2011,January,8,No,Thursday,Working Day,Clear/Cloudy,6.5600000000000005,11.365,59.0,0.0,3,216,219,Morning
124,2011-01-06,Spring,2011,January,9,No,Thursday,Working Day,Mist/Cloudy,7.38,12.120000000000001,51.0,0.0,6,116,122,Morning
125,2011-01-06,Spring,2011,January,10,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Morning
126,2011-01-06,Spring,2011,January,11,No,Thursday,Working Day,Clear/Cloudy,9.02,12.879999999999999,44.0,6.0032,2,57,59,Morning
127,2011-01-06,Spring,2011,January,12,No,Thursday,Working Day,Clear/Cloudy,10.66,14.395,35.0,0.0,6,78,84,Afternoon
128,2011-01-06,Spring,2011,January,13,No,Thursday,Working Day,Clear/Cloudy,10.66,13.635,35.0,7.0015,12,55,67,Afternoon
129,2011-01-06,Spring,2011,January,14,No,Thursday,Working Day,Clear/Cloudy,11.48,13.635,36.0,11.0014,11,59,70,Afternoon
130,2011-01-06,Spring,2011,January,15,No,Thursday,Working Day,Clear/Cloudy,11.48,13.635,36.0,0.0,8,54,62,Afternoon
131,2011-01-06,Spring,2011,January,16,No,Thursday,Working Day,Clear/Cloudy,10.66,12.879999999999999,38.0,11.0014,12,74,86,Afternoon
132,2011-01-06,Spring,2011,January,17,No,Thursday,Working Day,Clear/Cloudy,9.02,11.365,51.0,11.0014,9,163,172,Afternoon
133,2011-01-06,Spring,2011,January,18,No,Thursday,Working Day,Clear/Cloudy,9.02,11.365,51.0,8.9981,5,158,163,Evening
134,2011-01-06,Spring,2011,January,19,No,Thursday,Working Day,Clear/Cloudy,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Evening
135,2011-01-06,Spring,2011,January,20,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,10.605,51.0,11.0014,3,66,69,Evening
136,2011-01-06,Spring,2011,January,21,No,Thursday,Working Day,Mist/Cloudy,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Evening
137,2011-01-06,Spring,2011,January,22,No,Thursday,Working Day,Mist/Cloudy,9.02,10.605,51.0,19.0012,1,51,52,Evening
138,2011-01-06,Spring,2011,January,23,No,Thursday,Working Day,Mist/Cloudy,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Evening
139,2011-01-07,Spring,2011,January,0,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Night
140,2011-01-07,Spring,2011,January,1,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Night
141,2011-01-07,Spring,2011,January,2,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Night
142,2011-01-07,Spring,2011,January,4,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,10.605,69.0,8.9981,0,1,1,Night
143,2011-01-07,Spring,2011,January,5,No,Friday,Working Day,Light Snow/Rain,9.02,13.635,55.00000000000001,0.0,0,5,5,Night
144,2011-01-07,Spring,2011,January,6,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Morning
145,2011-01-07,Spring,2011,January,7,No,Friday,Working Day,Clear/Cloudy,8.200000000000001,10.605,69.0,8.9981,8,76,84,Morning
146,2011-01-07,Spring,2011,January,8,No,Friday,Working Day,Clear/Cloudy,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Morning
147,2011-01-07,Spring,2011,January,9,No,Friday,Working Day,Clear/Cloudy,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Morning
148,2011-01-07,Spring,2011,January,10,No,Friday,Working Day,Clear/Cloudy,9.02,9.85,37.0,22.0028,16,47,63,Morning
149,2011-01-07,Spring,2011,January,11,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Morning
150,2011-01-07,Spring,2011,January,12,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Afternoon
151,2011-01-07,Spring,2011,January,13,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.09,37.0,19.0012,9,64,73,Afternoon
152,2011-01-07,Spring,2011,January,14,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Afternoon
153,2011-01-07,Spring,2011,January,15,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,10.605,37.0,11.0014,9,63,72,Afternoon
154,2011-01-07,Spring,2011,January,16,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,10.605,37.0,11.0014,5,82,87,Afternoon
155,2011-01-07,Spring,2011,January,17,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Afternoon
156,2011-01-07,Spring,2011,January,18,No,Friday,Working Day,Clear/Cloudy,8.200000000000001,11.365,40.0,6.0032,7,116,123,Evening
157,2011-01-07,Spring,2011,January,19,No,Friday,Working Day,Clear/Cloudy,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Evening
158,2011-01-07,Spring,2011,January,20,No,Friday,Working Day,Clear/Cloudy,7.38,10.605,47.0,7.0015,1,50,51,Evening
159,2011-01-07,Spring,2011,January,21,No,Friday,Working Day,Clear/Cloudy,7.38,9.85,47.0,8.9981,0,39,39,Evening
160,2011-01-07,Spring,2011,January,22,No,Friday,Working Day,Mist/Cloudy,7.38,9.85,43.0,11.0014,2,34,36,Evening
161,2011-01-07,Spring,2011,January,23,No,Friday,Working Day,Mist/Cloudy,7.38,9.85,51.0,11.0014,1,14,15,Evening
162,2011-01-08,Spring,2011,January,0,No,Saturday,Weekend/Holiday,Mist/Cloudy,7.38,9.85,51.0,11.0014,1,24,25,Night
163,2011-01-08,Spring,2011,January,1,No,Saturday,Weekend/Holiday,Mist/Cloudy,7.38,10.605,55.00000000000001,6.0032,1,15,16,Night
164,2011-01-08,Spring,2011,January,2,No,Saturday,Weekend/Holiday,Mist/Cloudy,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Night
165,2011-01-08,Spring,2011,January,3,No,Saturday,Weekend/Holiday,Light Snow/Rain,7.38,9.85,55.00000000000001,11.0014,0,7,7,Night
166,2011-01-08,Spring,2011,January,4,No,Saturday,Weekend/Holiday,Light Snow/Rain,7.38,9.85,55.00000000000001,11.0014,0,1,1,Night
167,2011-01-08,Spring,2011,January,5,No,Saturday,Weekend/Holiday,Mist/Cloudy,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Night
168,2011-01-08,Spring,2011,January,6,No,Saturday,Weekend/Holiday,Mist/Cloudy,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Morning
169,2011-01-08,Spring,2011,January,7,No,Saturday,Weekend/Holiday,Mist/Cloudy,6.5600000000000005,9.09,74.0,7.0015,1,8,9,Morning
170,2011-01-08,Spring,2011,January,8,No,Saturday,Weekend/Holiday,Light Snow/Rain,6.5600000000000005,9.09,93.0,7.0015,0,15,15,Morning
171,2011-01-08,Spring,2011,January,9,No,Saturday,Weekend/Holiday,Light Snow/Rain,6.5600000000000005,9.09,93.0,7.0015,0,20,20,Morning
172,2011-01-08,Spring,2011,January,10,No,Saturday,Weekend/Holiday,Mist/Cloudy,7.38,9.85,80.0,11.0014,5,56,61,Morning
173,2011-01-08,Spring,2011,January,11,No,Saturday,Weekend/Holiday,Mist/Cloudy,8.200000000000001,9.09,69.0,26.0027,2,60,62,Morning
174,2011-01-08,Spring,2011,January,12,No,Saturday,Weekend/Holiday,Mist/Cloudy,8.200000000000001,9.09,59.0,23.9994,8,90,98,Afternoon
175,2011-01-08,Spring,2011,January,13,No,Saturday,Weekend/Holiday,Clear/Cloudy,8.200000000000001,9.09,44.0,22.0028,7,95,102,Afternoon
177,2011-01-08,Spring,2011,January,15,No,Saturday,Weekend/Holiday,Clear/Cloudy,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,Afternoon
178,2011-01-08,Spring,2011,January,16,No,Saturday,Weekend/Holiday,Clear/Cloudy,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,Afternoon
180,2011-01-08,Spring,2011,January,18,No,Saturday,Weekend/Holiday,Clear/Cloudy,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,Evening
181,2011-01-08,Spring,2011,January,19,No,Saturday,Weekend/Holiday,Clear/Cloudy,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,Evening
182,2011-01-08,Spring,2011,January,20,No,Saturday,Weekend/Holiday,Clear/Cloudy,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,Evening
183,2011-01-08,Spring,2011,January,21,No,Saturday,Weekend/Holiday,Clear/Cloudy,4.92,5.305,39.0,23.9994,2,35,37,Evening
184,2011-01-08,Spring,2011,January,22,No,Saturday,Weekend/Holiday,Clear/Cloudy,4.92,5.305,36.0,26.0027,1,33,34,Evening
185,2011-01-08,Spring,2011,January,23,No,Saturday,Weekend/Holiday,Clear/Cloudy,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,Evening
186,2011-01-09,Spring,2011,January,0,No,Sunday,Weekend/Holiday,Clear/Cloudy,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,Night
